0,1,2,3,4,5,6,7,8,9,10
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled water,cream cheese ,pip fruit,hygiene articles,,,,,,,
brandy,ham,root vegetables,whole milk,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
beef,yogurt,fruit/vegetable juice,,,,,,,,
soda,curd,,,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
other vegetables,margarine,brown bread,,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
beef,hamburger meat,,,,,,,,,
hard cheese,mayonnaise,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
soda,pastry,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
grapes,yogurt,hygiene articles,,,,,,,,
bottled water,newspapers,,,,,,,,,
oil,fruit/vegetable juice,domestic eggs,,,,,,,,
detergent,liquor (appetizer),,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
root vegetables,soups,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
soda,chewing gum,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
pip fruit,pastry,,,,,,,,,
canned beer,liquor,,,,,,,,,
liquor,margarine,,,,,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
candles,soda,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
pork,whole milk,,,,,,,,,
bottled water,sugar,,,,,,,,,
rolls/buns,oil,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
canned beer,specialty chocolate,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
pork,frozen dessert,,,,,,,,,
organic sausage,rolls/buns,,,,,,,,,
bottled water,bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
salty snack,butter,,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
pork,bottled beer,flour,,,,,,,,
sauces,misc. beverages,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
curd,beef,napkins,,,,,,,,
meat,chocolate,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
ham,ice cream,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
ice cream,root vegetables,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
beverages,cat food,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
meat,curd,,,,,,,,,
mustard,soda,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
other vegetables,whole milk,softener,,,,,,,,
sausage,shopping bags,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
whole milk,coffee,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
sausage,flour,,,,,,,,,
meat,grapes,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
ham,UHT-milk,,,,,,,,,
grapes,whole milk,,,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
pork,soda,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
root vegetables,whipped/sour cream,specialty bar,,,,,,,,
salt,domestic eggs,,,,,,,,,
beef,yogurt,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pet care,mustard,,,,,,,,,
sausage,dessert,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
soda,detergent,,,,,,,,,
pork,canned beer,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
hamburger meat,margarine,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
sausage,salt,,,,,,,,,
meat,cling film/bags,whipped/sour cream,,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
chicken,roll products ,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
berries,canned fish,,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,syrup,,,,,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
other vegetables,soda,,,,,,,,,
sugar,curd,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter milk,whole milk,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,butter milk,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
sausage,chicken,bottled beer,whole milk,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
curd,rolls/buns,candy,,,,,,,,
napkins,white bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
beverages,yogurt,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
beverages,whole milk,napkins,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
berries,soda,bottled beer,,,,,,,,
beef,other vegetables,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
whole milk,cream cheese ,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
mustard,yogurt,cat food,bottled beer,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
soda,other vegetables,bottled water,white bread,frozen meals,onions,bottled beer,margarine,,,
hamburger meat,tropical fruit,soda,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
butter,canned beer,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
pip fruit,cereals,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
whole milk,hard cheese,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
pastry,whole milk,citrus fruit,newspapers,,,,,,,
pastry,brown bread,,,,,,,,,
other vegetables,butter,,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
soda,artif. sweetener,cocoa drinks,bottled water,,,,,,,
white wine,dessert,,,,,,,,,
butter,whole milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
tropical fruit,salty snack,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
specialty chocolate,brandy,,,,,,,,,
brown bread,soda,,,,,,,,,
sausage,rolls/buns,waffles,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
beverages,red/blush wine,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
bottled beer,curd,,,,,,,,,
finished products,pip fruit,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,root vegetables,sausage,frozen vegetables,chocolate,,,,,,
pastry,syrup,,,,,,,,,
ham,canned vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
berries,napkins,cereals,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
bottled water,canned beer,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
chicken,other vegetables,,,,,,,,,
baking powder,yogurt,,,,,,,,,
pip fruit,soda,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
sausage,pork,,,,,,,,,
margarine,margarine,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
pip fruit,flour,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
frankfurter,margarine,,,,,,,,,
soda,whole milk,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
ham,frozen meals,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,pastry,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
newspapers,citrus fruit,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
other vegetables,coffee,,,,,,,,,
canned fish,shopping bags,,,,,,,,,
other vegetables,coffee,,,,,,,,,
soda,butter,rolls/buns,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
beef,berries,,,,,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
domestic eggs,waffles,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
rolls/buns,tropical fruit,soda,dessert,,,,,,,
bottled beer,tropical fruit,white wine,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,salty snack,,,,,,,,,
bottled beer,dog food,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
beef,rum,brown bread,,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
tropical fruit,sausage,,,,,,,,,
sausage,sauces,,,,,,,,,
snack products,mayonnaise,bottled water,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
soda,flour,brown bread,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
frozen meals,bottled beer,,,,,,,,,
chicken,specialty bar,newspapers,liquor,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
yogurt,rolls/buns,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
ham,waffles,,,,,,,,,
whole milk,pastry,,,,,,,,,
ice cream,chewing gum,,,,,,,,,
whole milk,onions,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
herbs,chocolate,,,,,,,,,
soda,candy,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
frankfurter,bottled beer,other vegetables,bottled beer,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
root vegetables,pastry,,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
pastry,shopping bags,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
whole milk,bottled water,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
rolls/buns,margarine,,,,,,,,,
chicken,pork,,,,,,,,,
cat food,newspapers,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
chicken,canned beer,frozen vegetables,whipped/sour cream,,,,,,,
frankfurter,coffee,,,,,,,,,
beverages,bottled water,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
rum,rolls/buns,,,,,,,,,
flour,tropical fruit,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
pork,beef,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
ham,curd,,,,,,,,,
canned vegetables,brown bread,salty snack,,,,,,,,
meat,whole milk,bottled water,mayonnaise,,,,,,,
bottled water,soda,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
butter,bottled water,,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
cream cheese ,chocolate,,,,,,,,,
soda,curd,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
misc. beverages,whole milk,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
chicken,whole milk,soda,,,,,,,,
chocolate,other vegetables,,,,,,,,,
pip fruit,margarine,,,,,,,,,
rolls/buns,berries,,,,,,,,,
butter,rolls/buns,,,,,,,,,
beef,mustard,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beverages,whole milk,,,,,,,,,
tropical fruit,butter milk,softener,,,,,,,,
meat,detergent,canned beer,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
onions,berries,,,,,,,,,
canned beer,sugar,,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
sausage,newspapers,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
Instant food products,bottled beer,butter,,,,,,,,
domestic eggs,potato products,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
whole milk,red/blush wine,newspapers,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,other vegetables,tropical fruit,mayonnaise,,,,,,,
salt,soda,rolls/buns,,,,,,,,
ham,berries,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
dishes,oil,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,whole milk,semi-finished bread,,,,,,,,
soda,margarine,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
salty snack,sugar,,,,,,,,,
citrus fruit,berries,,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,whole milk,,,,,,,,,
roll products ,shopping bags,,,,,,,,,
white bread,bottled beer,yogurt,berries,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
root vegetables,roll products ,root vegetables,whole milk,,,,,,,
chicken,whole milk,,,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
brown bread,ketchup,soda,,,,,,,,
meat,rolls/buns,root vegetables,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
pasta,shopping bags,,,,,,,,,
cat food,coffee,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
root vegetables,chocolate,candy,,,,,,,,
ham,beverages,margarine,,,,,,,,
onions,curd,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
ice cream,yogurt,oil,,,,,,,,
misc. beverages,yogurt,,,,,,,,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
pork,white wine,,,,,,,,,
cling film/bags,UHT-milk,pastry,,,,,,,,
spices,cat food,seasonal products,,,,,,,,
curd,soda,,,,,,,,,
flour,dessert,,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
whole milk,butter,,,,,,,,,
jam,house keeping products,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
newspapers,dishes,,,,,,,,,
pastry,chewing gum,,,,,,,,,
ham,pastry,,,,,,,,,
roll products ,rolls/buns,,,,,,,,,
whole milk,soda,whipped/sour cream,dessert,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
chocolate,whole milk,,,,,,,,,
butter,candy,,,,,,,,,
beverages,sugar,,,,,,,,,
pasta,pot plants,liquor,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
cream cheese ,root vegetables,soda,,,,,,,,
canned beer,newspapers,newspapers,,,,,,,,
curd,waffles,,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
sausage,mustard,,,,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
tropical fruit,whole milk,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
newspapers,yogurt,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
pork,root vegetables,,,,,,,,,
pork,brown bread,bottled beer,shopping bags,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
bottled water,salty snack,brown bread,,,,,,,,
grapes,whole milk,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
soda,yogurt,,,,,,,,,
soda,sugar,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
rolls/buns,cat food,newspapers,,,,,,,,
whole milk,waffles,,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
soda,bathroom cleaner,,,,,,,,,
herbs,grapes,butter,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
sausage,curd,brown bread,,,,,,,,
canned beer,yogurt,,,,,,,,,
tropical fruit,soda,,,,,,,,,
coffee,soda,,,,,,,,,
coffee,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,grapes,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
white bread,pip fruit,,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
whole milk,citrus fruit,butter,pip fruit,,,,,,,
soda,cling film/bags,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
chicken,pip fruit,,,,,,,,,
beef,butter,brown bread,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
other vegetables,seasonal products,bottled water,,,,,,,,
soda,candy,,,,,,,,,
whole milk,rolls/buns,dish cleaner,,,,,,,,
other vegetables,chicken,,,,,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
coffee,other vegetables,,,,,,,,,
beef,margarine,,,,,,,,,
newspapers,newspapers,,,,,,,,,
photo/film,bottled beer,,,,,,,,,
brown bread,rolls/buns,citrus fruit,frozen fish,chocolate,,,,,,
pastry,yogurt,,,,,,,,,
meat,other vegetables,,,,,,,,,
fruit/vegetable juice,pot plants,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
whole milk,hard cheese,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
meat,whole milk,newspapers,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
frankfurter,napkins,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
coffee,butter milk,,,,,,,,,
chicken,other vegetables,,,,,,,,,
sausage,beef,,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
napkins,sugar,,,,,,,,,
napkins,pastry,,,,,,,,,
beef,bottled water,,,,,,,,,
dessert,bottled beer,,,,,,,,,
frankfurter,coffee,,,,,,,,,
pastry,shopping bags,,,,,,,,,
sausage,rolls/buns,rolls/buns,,,,,,,,
coffee,brown bread,,,,,,,,,
soda,shopping bags,,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
other vegetables,candy,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
meat,pasta,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
berries,pastry,,,,,,,,,
hamburger meat,pastry,cake bar,brown bread,,,,,,,
frankfurter,citrus fruit,other vegetables,condensed milk,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
dessert,shopping bags,,,,,,,,,
curd,cream cheese ,,,,,,,,,
waffles,pasta,,,,,,,,,
pot plants,frozen vegetables,coffee,,,,,,,,
beef,whole milk,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
tea,pip fruit,,,,,,,,,
soda,cereals,whole milk,,,,,,,,
citrus fruit,candy,,,,,,,,,
butter,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
beverages,bottled water,,,,,,,,,
ice cream,butter,,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
canned beer,turkey,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
pot plants,spread cheese,butter milk,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
beverages,oil,,,,,,,,,
yogurt,pet care,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
ham,canned beer,,,,,,,,,
whole milk,bottled water,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
soda,curd,,,,,,,,,
bottled water,soda,,,,,,,,,
bottled water,butter,,,,,,,,,
beef,beef,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
frankfurter,newspapers,,,,,,,,,
berries,other vegetables,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
sausage,bottled beer,misc. beverages,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
chicken,pastry,,,,,,,,,
pip fruit,candles,,,,,,,,,
seasonal products,root vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
hamburger meat,salty snack,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
pip fruit,whole milk,butter milk,yogurt,,,,,,,
beef,whole milk,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
soda,soda,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
finished products,liquor,,,,,,,,,
chicken,canned beer,,,,,,,,,
beef,whole milk,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,canned beer,pastry,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
semi-finished bread,brown bread,,,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
soda,mayonnaise,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
canned beer,berries,butter,baking powder,,,,,,,
butter,frozen meals,,,,,,,,,
butter,margarine,,,,,,,,,
berries,hygiene articles,,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
other vegetables,processed cheese,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
UHT-milk,pip fruit,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
whole milk,herbs,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
margarine,fruit/vegetable juice,,,,,,,,,
beef,waffles,citrus fruit,waffles,,,,,,,
beef,pip fruit,,,,,,,,,
bottled water,canned vegetables,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
frankfurter,sugar,,,,,,,,,
butter,long life bakery product,,,,,,,,,
curd,curd,,,,,,,,,
long life bakery product,frozen vegetables,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
beef,soda,,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
frankfurter,UHT-milk,sliced cheese,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
UHT-milk,yogurt,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
seasonal products,other vegetables,,,,,,,,,
bottled beer,oil,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
frozen vegetables,salty snack,other vegetables,curd,hygiene articles,,,,,,
sugar,bottled beer,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
candy,bottled water,,,,,,,,,
yogurt,canned beer,,,,,,,,,
chicken,waffles,,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
white bread,spread cheese,,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
preservation products,soups,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
